outcome,contrast,matched_sets,treatment_cells_per_set,repetitions_per_resume,unique_resumes,planned_evaluations,condition_level_sd,within_resume_call_sd,contrast_sd_after_repeats,target_effect,mde_alpha_05_power_80,mde_bonferroni_12_power_80,power_at_target_alpha_05,unit
fit_score,main_effect,32,4,4,128,512,0.4,0.6,0.5,0.3,0.2556368974246186,0.35108569800598877,0.9077895994746441,score points
fit_score,interaction,32,4,4,128,512,0.4,0.6,1.0,0.5,0.5112737948492372,0.7021713960119775,0.7822760116541027,score points
recommendation_probability,main_effect,32,4,4,128,512,0.15,0.35,0.23048861143232216,0.15,0.11784278703653463,0.1618425100542959,0.9457754757784488,probability
recommendation_probability,interaction,32,4,4,128,512,0.15,0.35,0.4609772228646443,0.2,0.23568557407306925,0.3236850201085918,0.6619475057645454,probability
fit_score,main_effect,32,4,5,128,640,0.4,0.6,0.48166378315169184,0.3,0.24626207025340555,0.33821053102403387,0.9267855955012783,score points
fit_score,interaction,32,4,5,128,640,0.4,0.6,0.9633275663033837,0.5,0.4925241405068111,0.6764210620480677,0.8116799941899434,score points
recommendation_probability,main_effect,32,4,5,128,640,0.15,0.35,0.216794833886788,0.15,0.1108415174250081,0.1522271311584707,0.966383197187485,probability
recommendation_probability,interaction,32,4,5,128,640,0.15,0.35,0.433589667773576,0.2,0.2216830348500162,0.3044542623169414,0.7149267653762712,probability
fit_score,main_effect,32,4,6,128,768,0.4,0.6,0.469041575982343,0.3,0.2398086664945593,0.3293475781951798,0.9387032639106219,score points
fit_score,interaction,32,4,6,128,768,0.4,0.6,0.938083151964686,0.5,0.4796173329891186,0.6586951563903596,0.831614219731778,score points
recommendation_probability,main_effect,32,4,6,128,768,0.15,0.35,0.20716338157760086,0.15,0.10591720825298055,0.145464200844906,0.9775762945565851,probability
recommendation_probability,interaction,32,4,6,128,768,0.15,0.35,0.4143267631552017,0.2,0.2118344165059611,0.290928401689812,0.7534066889588413,probability
fit_score,main_effect,32,4,7,128,896,0.4,0.6,0.45981362684088806,0.3,0.2350906579183319,0.3228679762641969,0.9467595472221805,score points
fit_score,interaction,32,4,7,128,896,0.4,0.6,0.9196272536817761,0.5,0.4701813158366638,0.6457359525283938,0.8459261171052714,score points
recommendation_probability,main_effect,32,4,7,128,896,0.15,0.35,0.19999999999999998,0.15,0.10225475896984743,0.14043427920239548,0.9841406782735965,probability
recommendation_probability,interaction,32,4,7,128,896,0.15,0.35,0.39999999999999997,0.2,0.20450951793969485,0.28086855840479097,0.7822760116541027,probability
fit_score,main_effect,32,4,8,128,1024,0.4,0.6,0.45276925690687087,0.3,0.23148905616984505,0.31792162119360323,0.9525160955389314,score points
fit_score,interaction,32,4,8,128,1024,0.4,0.6,0.9055385138137417,0.5,0.4629781123396901,0.6358432423872065,0.8566567187590011,score points
recommendation_probability,main_effect,32,4,8,128,1024,0.15,0.35,0.19445436482630057,0.15,0.09941942102974072,0.13654029281070584,0.9882413728927097,probability
recommendation_probability,interaction,32,4,8,128,1024,0.15,0.35,0.38890872965260115,0.2,0.19883884205948144,0.2730805856214117,0.8045443048792481,probability
fit_score,main_effect,32,4,9,128,1152,0.4,0.6,0.447213595499958,0.3,0.22864859207943525,0.31402059466774135,0.9568082154187026,score points
fit_score,interaction,32,4,9,128,1152,0.4,0.6,0.894427190999916,0.5,0.4572971841588705,0.6280411893354827,0.8649784834733907,score points
recommendation_probability,main_effect,32,4,9,128,1152,0.15,0.35,0.19002923751652298,0.15,0.09715696939737974,0.13343309499006858,0.9909402222331416,probability
recommendation_probability,interaction,32,4,9,128,1152,0.15,0.35,0.38005847503304596,0.2,0.19431393879475947,0.26686618998013717,0.8221321538446988,probability
fit_score,main_effect,32,4,10,128,1280,0.4,0.6,0.44271887242357316,0.3,0.22635055795537556,0.31086452869050896,0.9601176078657478,score points
fit_score,interaction,32,4,10,128,1280,0.4,0.6,0.8854377448471463,0.5,0.45270111591075113,0.6217290573810179,0.8716084848926313,score points
recommendation_probability,main_effect,32,4,10,128,1280,0.15,0.35,0.18641351882307247,0.15,0.09530834717987197,0.13089424074750186,0.9927953471496327,probability
recommendation_probability,interaction,32,4,10,128,1280,0.15,0.35,0.37282703764614494,0.2,0.19061669435974393,0.2617884814950037,0.8363073331535418,probability
